id,dataset_name,category,file_size_mb,source,last_update
1,"Bank Loan Defaults (Global, 2020-2024)",Finance,4081.29,Government Open Data,2018-04-27
2,"Standardized Test Results (US, 2019-2024)",Education,2208.21,Internal Analytics Team,2022-10-03
3,"Carbon Emissions Data (Middle East, 2016-2025)",Environment,5697.13,Kaggle,2023-12-24
4,"Inventory Stock Levels (Asia, 2017-2023)",Retail,7124.48,Internal Analytics Team,2022-12-14
5,"Global Stock Prices (Asia, 2021-2024)",Finance,4566.84,Public API,2018-09-10
6,"Vehicle Registration Records (Asia, 2018-2023)",Transportation,7131.53,Public API,2024-01-27
7,"Standardized Test Results (Asia, 2018-2024)",Education,949.69,Public API,2024-07-28
8,"Daily Sales Transactions (Middle East, 2016-2025)",Retail,4021.9,Public API,2020-04-03
9,"Hospital Patient Admissions (US, 2020-2025)",Healthcare,896.74,Internal Analytics Team,2023-08-16
10,"Mobile App Usage Analytics (EU, 2020-2023)",Technology,6351.45,Kaggle,2018-09-20
11,"Clinical Trial Outcomes (US, 2020-2025)",Healthcare,4894.59,Internal Analytics Team,2018-08-23
12,"Cryptocurrency Transactions (EU, 2019-2023)",Finance,4132.15,Public API,2022-04-09
13,"School Performance Index (EU, 2016-2025)",Education,737.75,Research Institute,2024-12-29
14,"Medical Insurance Claims (Global, 2021-2025)",Healthcare,212.95,Internal Analytics Team,2020-05-26
15,"Consumer Credit Scores (Middle East, 2015-2024)",Finance,3022.82,Public API,2018-04-30
16,"Road Accident Reports (Asia, 2015-2025)",Transportation,5011.31,Internal Analytics Team,2023-09-27
17,"Internet Traffic Statistics (Asia, 2022-2023)",Technology,3582.15,Kaggle,2023-03-01
18,"Water Pollution Levels (US, 2022-2023)",Environment,2412.37,Government Open Data,2020-11-19
19,"Product Pricing Trends (US, 2017-2023)",Retail,2585.66,Research Institute,2019-02-27
20,"Cloud Server Performance Logs (Middle East, 2019-2025)",Technology,5103.45,Kaggle,2022-08-12
21,"Mobile App Usage Analytics (US, 2018-2024)",Technology,6894.83,Internal Analytics Team,2022-10-21
22,"Standardized Test Results (EU, 2016-2025)",Education,3383.8,Internal Analytics Team,2023-05-29
23,"Climate Temperature Records (EU, 2017-2024)",Environment,688.36,Public API,2018-08-16
24,"Cryptocurrency Transactions (Middle East, 2020-2023)",Finance,7189.31,Internal Analytics Team,2021-04-12
25,"Carbon Emissions Data (EU, 2020-2024)",Environment,4743.02,Kaggle,2018-11-01
26,"Product Pricing Trends (Middle East, 2022-2024)",Retail,7841.47,Kaggle,2023-01-26
27,"Global Stock Prices (US, 2021-2024)",Finance,6093.2,Government Open Data,2022-09-16
28,"Bank Loan Defaults (Middle East, 2022-2024)",Finance,1180.99,Internal Analytics Team,2022-08-12
29,"Student Enrollment Statistics (Asia, 2020-2025)",Education,5706.23,Kaggle,2020-01-24
30,"Hospital Patient Admissions (EU, 2016-2024)",Healthcare,3784.72,Research Institute,2022-10-04
31,"Hospital Patient Admissions (Asia, 2018-2025)",Healthcare,7553.84,Public API,2024-08-05
32,"Clinical Trial Outcomes (Global, 2020-2025)",Healthcare,4493.38,Government Open Data,2022-05-14
33,"Software Bug Reports (US, 2016-2024)",Technology,1388.49,Kaggle,2021-12-27
34,"Bank Loan Defaults (Global, 2016-2025)",Finance,7837.65,Government Open Data,2019-01-30
35,"University Graduation Rates (Global, 2021-2025)",Education,617.19,Public API,2023-08-28
36,"Road Accident Reports (US, 2021-2025)",Transportation,2379.11,Kaggle,2020-04-09
37,"Traffic Flow Sensors (Asia, 2018-2023)",Transportation,7694.6,Internal Analytics Team,2018-04-11
38,"Public Health Surveillance (EU, 2018-2023)",Healthcare,2798.19,Internal Analytics Team,2024-10-24
39,"Global Stock Prices (Asia, 2016-2023)",Finance,6113.57,Internal Analytics Team,2020-12-10
40,"Online Course Participation (Middle East, 2022-2024)",Education,7128.48,Kaggle,2021-05-22
41,"Customer Purchase History (Global, 2018-2025)",Retail,1247.1,Kaggle,2024-10-05
42,"Quarterly Revenue Reports (Global, 2016-2023)",Finance,2116.51,Kaggle,2019-08-29
43,"Cloud Server Performance Logs (Middle East, 2015-2025)",Technology,4678.77,Government Open Data,2024-03-18
44,"Traffic Flow Sensors (Asia, 2016-2023)",Transportation,1343.09,Kaggle,2020-11-23
45,"University Graduation Rates (Asia, 2020-2024)",Education,3084.23,Public API,2019-01-15
46,"Quarterly Revenue Reports (Middle East, 2016-2024)",Finance,690.42,Kaggle,2024-06-28
47,"Quarterly Revenue Reports (US, 2016-2023)",Finance,2069.73,Kaggle,2024-12-26
48,"Quarterly Revenue Reports (US, 2021-2024)",Finance,997.28,Public API,2018-06-14
49,"School Performance Index (Asia, 2017-2023)",Education,6620.84,Research Institute,2022-03-02
50,"Air Quality Measurements (Global, 2022-2024)",Environment,2920.68,Kaggle,2018-11-19
51,"Quarterly Revenue Reports (Middle East, 2021-2025)",Finance,2473.16,Internal Analytics Team,2022-05-20
52,"Clinical Trial Outcomes (Asia, 2016-2023)",Healthcare,515.74,Internal Analytics Team,2018-04-07
53,"Medical Insurance Claims (Global, 2016-2024)",Healthcare,4488.17,Government Open Data,2022-10-16
54,"AI Model Training Metrics (Global, 2018-2023)",Technology,5602.14,Internal Analytics Team,2024-09-09
55,"School Performance Index (Global, 2022-2025)",Education,5417.13,Public API,2018-11-07
56,"Cloud Server Performance Logs (Middle East, 2022-2024)",Technology,2995.62,Research Institute,2020-11-16
57,"Public Health Surveillance (EU, 2016-2024)",Healthcare,7710.43,Public API,2019-01-11
58,"Water Pollution Levels (Middle East, 2019-2025)",Environment,1436.53,Kaggle,2020-07-29
59,"Product Pricing Trends (Global, 2020-2025)",Retail,7878.6,Internal Analytics Team,2019-06-14
60,"Clinical Trial Outcomes (Asia, 2019-2023)",Healthcare,7243.19,Government Open Data,2020-12-27
61,"Hospital Patient Admissions (EU, 2019-2023)",Healthcare,6748.31,Kaggle,2020-12-01
62,"University Graduation Rates (Middle East, 2021-2024)",Education,3385.58,Public API,2024-01-25
63,"Disease Incidence Records (EU, 2021-2023)",Healthcare,3889.91,Internal Analytics Team,2019-12-13
64,"Medical Insurance Claims (Asia, 2018-2025)",Healthcare,713.17,Kaggle,2019-01-04
65,"Clinical Trial Outcomes (Middle East, 2015-2025)",Healthcare,1734.03,Kaggle,2020-04-08
66,"Flight Delay Statistics (Asia, 2018-2024)",Transportation,2736.17,Research Institute,2018-01-26
67,"School Performance Index (Middle East, 2020-2025)",Education,4656.91,Government Open Data,2022-12-28
68,"Vehicle Registration Records (EU, 2016-2024)",Transportation,6057.54,Public API,2022-02-19
69,"Road Accident Reports (Middle East, 2022-2024)",Transportation,4556.13,Internal Analytics Team,2021-06-23
70,"Climate Temperature Records (Asia, 2015-2024)",Environment,2724.44,Research Institute,2024-04-18
71,"Public Transit Ridership (Asia, 2018-2025)",Transportation,5315.94,Government Open Data,2019-02-15
72,"Consumer Credit Scores (Asia, 2020-2025)",Finance,3105.89,Research Institute,2024-04-11
73,"Hospital Patient Admissions (Global, 2016-2024)",Healthcare,4736.67,Internal Analytics Team,2020-12-05
74,"Water Pollution Levels (Middle East, 2015-2024)",Environment,1662.41,Public API,2021-05-24
75,"Daily Sales Transactions (EU, 2015-2025)",Retail,7066.12,Public API,2021-10-01
76,"Standardized Test Results (US, 2017-2023)",Education,5333.01,Internal Analytics Team,2021-12-21
77,"Public Health Surveillance (US, 2016-2025)",Healthcare,876.56,Public API,2023-09-12
78,"Quarterly Revenue Reports (Asia, 2021-2023)",Finance,4092.43,Internal Analytics Team,2023-07-22
79,"Inventory Stock Levels (US, 2016-2023)",Retail,7005.65,Public API,2023-01-28
80,"E-commerce Conversion Rates (US, 2020-2025)",Retail,364.89,Kaggle,2023-11-02
81,"Quarterly Revenue Reports (US, 2015-2024)",Finance,2144.15,Research Institute,2024-05-03
82,"Water Pollution Levels (EU, 2017-2025)",Environment,1827.24,Research Institute,2021-11-16
83,"Online Course Participation (US, 2016-2023)",Education,2856.59,Research Institute,2019-06-09
84,"Daily Sales Transactions (Middle East, 2022-2024)",Retail,1029.33,Public API,2018-01-03
85,"Water Pollution Levels (Asia, 2021-2024)",Environment,4277.46,Internal Analytics Team,2021-05-23
86,"Student Enrollment Statistics (Asia, 2016-2025)",Education,1744.52,Research Institute,2019-04-03
87,"Clinical Trial Outcomes (Middle East, 2020-2023)",Healthcare,6085.57,Kaggle,2019-07-23
88,"Traffic Flow Sensors (Asia, 2022-2025)",Transportation,4451.26,Internal Analytics Team,2022-06-28
89,"AI Model Training Metrics (Global, 2022-2025)",Technology,5242.73,Public API,2024-09-18
90,"Standardized Test Results (Middle East, 2015-2023)",Education,6938.2,Internal Analytics Team,2023-06-21
91,"Quarterly Revenue Reports (Asia, 2019-2023)",Finance,4978.25,Public API,2024-10-20
92,"Daily Sales Transactions (EU, 2021-2023)",Retail,4862.26,Research Institute,2020-04-26
